gst-plugins-bad 1.18.4-10
gst-plugins-bad-libs 1.18.4-10
gst-plugins-base 1.18.4-1
gst-plugins-base-libs 1.18.4-1
gst-plugins-good 1.18.4-2
gstreamer 1.18.4-1
gtk-doc 1.33.2-1
gtk-update-icon-cache 1:4.2.1-2
gtk-vnc 1.2.0-1
gtk2 2.24.33-2
gtk3 1:3.24.30-1
gtkmm 1:2.24.5-4
gtkmm3 3.24.5-2
gtksourceview4 4.8.1-1
gts 0.7.6.121130-2
guile 2.2.7-1
gupnp 1.2.7-1
gupnp-igd 1.2.0-1
gwenview 21.04.3-1
gzip 1.10-3
harfbuzz 2.8.2-1
harfbuzz-icu 2.8.2-1
hdf5 1.12.0-2
hicolor-icon-theme 0.17-2
hidapi 0.10.1-1
http-parser 2.9.4-1
hunspell 1.7.0-3
hwids 20210613-1
hwloc 2.5.0-1
hyphen 2.8.8-3
i3-gaps 4.19.1-1
i3blocks 1.5-3
i3lock 2.13-1
i3status 2.13-3
iana-etc 20210624-1
icu 69.1-1
id3lib 3.8.3-18
ijs 0.35-3
imagemagick 7.1.0.4-1
imath 3.1.1-1
imlib2 1.7.1-1
incidenceeditor 21.04.3-1
iproute2 5.13.0-1
iptables-nft 1:1.8.7-1
iputils 20210722-1
iso-codes 4.6.0-1
itinerary 21.04.3-1
itstool 1:2.0.6-2
jack2 1.9.19-2
jansson 2.13.1-1
jasper 2.0.32-1
java-environment-common 3-3
java-runtime-common 3-3
java11-openjfx 11.0.10.u1-1
java8-openjfx 8.u202-3
jbig2dec 0.19-1
jdk8-openjdk 8.u292-1
jemalloc 1:5.2.1-3
jfsutils 1.1.15-7
jq 1.6-4
jre-openjdk 16.0.2.u7-1
jre-openjdk-headless 16.0.2.u7-1
jre11-openjdk 11.0.12.u7-1
jre11-openjdk-headless 11.0.12.u7-1
jre8-openjdk 8.u292-1
jre8-openjdk-headless 8.u292-1
js78 78.12.0-1
json-c 0.15-1
json-glib 1.6.2-1
jsoncpp 1.9.4-1
juk 21.04.3-1
k3b 1:21.04.3-1
kaccounts-integration 21.04.3-1
kaccounts-providers 21.04.3-1
kactivities 5.84.0-1
kactivities-stats 5.84.0-1
kactivitymanagerd 5.22.4-1
kaddressbook 21.04.3-1
kajongg 21.04.3-1
kalarm 21.04.3-1
kalarmcal 21.04.3-1
kalgebra 21.04.3-1
kalzium 21.04.3-1
kamera 21.04.3-1
kamoso 21.04.3-1
kanagram 21.04.3-1
kapman 21.04.3-1
kapptemplate 21.04.3-1
karchive 5.84.0-1
kate 21.04.3-1
katomic 21.04.3-1
kauth 5.84.0-1
kbackup 21.04.3-1
kbd 2.4.0-2
kblackbox 21.04.3-1
kblocks 21.04.3-1
kbookmarks 5.84.0-1
kbounce 21.04.3-1
kbreakout 21.04.3-1
kbruch 21.04.3-1
kcachegrind 21.04.3-1
kcachegrind-common 21.04.3-1
kcalc 21.04.3-1
kcalendarcore 5.84.0-1
kcalutils 21.04.3-1
kcharselect 21.04.3-1
kcmutils 5.84.0-1
kcodecs 5.84.0-1
kcolorchooser 21.04.3-1
kcolorpicker 0.1.6-1
kcompletion 5.84.0-1
kconfig 5.84.0-1
kconfigwidgets 5.84.0-1
kcontacts 1:5.84.0-1
kcoreaddons 5.84.0-1
kcrash 5.84.0-1
kcron 21.04.3-1
kdav 1:5.84.0-1
kdbusaddons 5.84.0-1
kde-cli-tools 5.22.4-1
kde-dev-scripts 21.04.3-1
kde-dev-utils 21.04.3-1
kdebugsettings 21.04.3-1
kdeclarative 5.84.0-1
kdeconnect 21.04.3-1
kdecoration 5.22.4-1
kded 5.84.0-1
kdeedu-data 21.04.3-1
kdegraphics-mobipocket 21.04.3-1
kdegraphics-thumbnailers 21.04.3-1
kdelibs4support 5.84.0-1
kdenetwork-filesharing 21.04.3-1
kdenlive 21.04.3-1
kdepim-addons 21.04.3-1
kdepim-runtime 21.04.3-1
kdesdk-kioslaves 21.04.3-1
kdesdk-thumbnailers 21.04.3-1
kdesu 5.84.0-1
kdevelop 5.6.2-5
kdevelop-php 5.6.2-1
kdf 21.04.3-1
kdiagram 2.8.0-1
kdialog 21.04.3-1
kdiamond 21.04.3-1
kdnssd 5.84.0-1
kdoctools 5.84.0-1
kdsoap 2.0.0-1
kdsoap-ws-discovery-client git20200927-2
keditbookmarks 21.04.3-1
kemoticons 5.84.0-1
keyutils 1.6.3-1
kfilemetadata 5.84.0-1
kfind 21.04.3-1
kfloppy 21.04.3-1
kfourinline 21.04.3-1
kgeography 21.04.3-1
kget 21.04.3-1
kglobalaccel 5.84.0-1
kgoldrunner 21.04.3-1
kgpg 21.04.3-1
kguiaddons 5.84.0-1
khangman 21.04.3-1
khelpcenter 21.04.3-1
kholidays 1:5.84.0-1
khtml 5.84.0-1
ki18n 5.84.0-1
kiconthemes 5.84.0-1
kidentitymanagement 21.04.3-1
kidletime 5.84.0-1
kig 21.04.3-1
kigo 21.04.3-1
killbots 21.04.3-1
kimageannotator 0.5.1-1
kimagemapeditor 21.04.3-1
kimap 21.04.3-1
kinit 5.84.0-1
kio 5.84.0-2
kio-extras 21.04.3-1
kio-fuse 5.0.1-1
kio-gdrive 21.04.3-1
kipi-plugins 21.04.3-1
kirigami-gallery 21.04.3-1
kirigami2 5.84.0-1
kiriki 21.04.3-1
kitemmodels 5.84.0-1
kitemviews 5.84.0-1
kiten 21.04.3-1
kitinerary 21.04.3-1
kjobwidgets 5.84.0-1
kjs 5.84.0-1
kjumpingcube 21.04.3-1
kldap 21.04.3-1
kleopatra 21.04.3-1
klettres 21.04.3-1
klickety 21.04.3-1
klines 21.04.3-1
kmag 21.04.3-1
kmahjongg 21.04.3-1
kmail 21.04.3-1
kmail-account-wizard 21.04.3-1
kmailtransport 21.04.3-1
kmbox 21.04.3-1
kmime 21.04.3-1
kmines 21.04.3-1
kmix 21.04.3-1
kmod 29-1
kmousetool 21.04.3-1
kmouth 21.04.3-1
kmplot 21.04.3-1
knavalbattle 21.04.3-1
knetwalk 21.04.3-1
knewstuff 5.84.0-1
knights 21.04.3-1
knotes 21.04.3-1
knotifications 5.84.0-1
knotifyconfig 5.84.0-1
kolf 21.04.3-1
kollision 21.04.3-1
kolourpaint 21.04.3-1
kompare 21.04.3-1
konqueror 21.04.3-1
konquest 21.04.3-1
konsole 21.04.3-1
kontact 21.04.3-1
kontactinterface 21.04.3-1
kontrast 21.04.3-1
konversation 21.04.3-1
kopeninghours 21.04.3-1
kopete 21.04.3-1
korganizer 21.04.3-1
kosmindoormap 21.04.3-1
kpackage 5.84.0-1
kparts 5.84.0-1
kpat 21.04.3-1
kpeople 5.84.0-1
kpeoplevcard 0.1-1
kpimtextedit 21.04.3-1
